title,rating,review,,,,,,,,
"12th generation, perfect!",5.0 out of 5 stars,I switched from an i9 9900k and feel the evolution. The latest is always the best. I recommend buying it if you were hesitant; the satisfaction level is quite high.,,,,,,,,
"Wow, what a beast!",5.0 out of 5 stars,"I upgraded from a 12500, which was already great, but this is on another level. Execution speed is amazing.",,,,,,,,
Super happy,5.0 out of 5 stars,"Super happy, I’ve always had the i7 K series and expected worse performance because I came from an i7, but this is a step up.",,,,,,,,
Magnificent,5.0 out of 5 stars,"Prompt delivery, perfect packaging, and reliable courier. Now I’m waiting for the technician to install the components.",,,,,,,,
Works great,4.0 out of 5 stars,Costs a lot and I do not recommend to anyone with a tight budget like Â£900 if you have a tight budge,,,,,,,,
Fast,5.0 out of 5 stars,"New format, but great. The problem is Windows 11, not sure when it will take off.",,,,,,,,
15 years old Intel,4.0 out of 5 stars,"Intel has been leading since Slot 1. If it's the same price range, I would still consider AMD. Also, CPU sockets have changed to AM5, and AM4 motherboards are now more expensive. Even high-end Gigabyte motherboards are imported from the US.",,,,,,,,
Fast and reliable,5.0 out of 5 stars,A CPU that I have been using for more than a year and will continue to use for the next few years.,,,,,,,,
Intel,5.0 out of 5 stars,"Matches the photo and description. Superb packaging, very correct product.",,,,,,,,
Incredible performance - outstanding value for money,5.0 out of 5 stars,"What Intel delivers with the 12th generation is almost unbelievable. After AMD's recent success, Intel has really stepped up.",,,,,,,,
Good processor with a bad cooler,3.0 out of 5 stars,Before buying keep in mind that you might need a good cooler. I bought Noctua D15 which is very good,,,,,,,,
"Almost perfect, only for the price",4.0 out of 5 stars,"Almost perfect, only the price is a bit high.",,,,,,,,
Powerful and efficient.,5.0 out of 5 stars,This CPU is almost as powerful as the K model (only 2-5% difference) and easier to manage thermally.,,,,,,,,
This Intel CPU is excellent,5.0 out of 5 stars,"I recently switched from using Ryzen CPUs. Considering the benchmarks, I replaced my existing Intel CPU with this one. The performance is truly impressive. The Windows boot speed alone is remarkable.",,,,,,,,
Everything okay,4.0 out of 5 stars,ottimo prodotto silenziosissimo,,,,,,,,
i7 (8620) exchange,5.0 out of 5 stars,"FPS increased from 100-150 to 130-243 with low graphics settings on black sand. Although there is little difference between high graphics and the same 2070, the stability is much better. I'm glad I made this purchase.",,,,,,,,
Uses only 60w and is very powerful Intel Core.,5.0 out of 5 stars,One of the best computer processor.,,,,,,,,
Best benchmark by far,5.0 out of 5 stars,Unbeatable quality-price ratio! The best if you want to spend the right amount without compromising.,,,,,,,,
Meets expectations,5.0 out of 5 stars,"Works well, but the stock cooler doesn’t cool enough, so you need to buy a liquid cooling system.",,,,,,,,
Very performant,5.0 out of 5 stars,"Bought to replace an i9-9900, very efficient.",,,,,,,,
Perfect,5.0 out of 5 stars,Perfect for a good workstation and more.,,,,,,,,
"Ideal as an upgrade for older computers, but will only operate in specific boards.",4.0 out of 5 stars,Would be useful to specify which boards it will work with as plug and play no longer exist.,,,,,,,,
